Departure station (id);Departure station;Arrival station (id);Arrival station;Length
1256;ZANDBERGEN;601;IDEGEM;2.66866093009551
699;LEBBEKE;1730;SINT-GILLIS;2.3003490027805302
1113;SY;185;BOMAL;3.66520060494182
797;MARIA-AALTER;127;BEERNEM;4.5816677317088
351;EKE-NAZARETH;320;DE PINTE;4.81092171837891
768;LUTTRE;286;COURC-MOTTE;5.51354406189795
1180;VERVIERS-PAL;1177;VERVIERS-C;0.864574182428276
615;JEMAPPES;979;QUAREGNON;2.13666268969413
565;HEUSDEN;1348;BERINGEN;3.4859826650309
957;PEPINST-CITE;629;JUSLENVILLE;2.66680306405604
1079;RHODE-ST-G;578;HOLLEKEN;2.1774712695498804
243;BERCHEM-ST-A;621;JETTE;3.17825665118003
540;HEIST;337;DUINBERGEN;1.63144968763091
380;ETTERBEEK;1973;GERMOIR;1.36804177277411
637;KIJKUIT;539;HEIDE;1.61098002352575
104;AALST-KERREB;6;AALST;1.1578295747566698
1979;TOUR-TAXIS;1768;SIMONIS;0.778884242355081
519;HARCHIES;1187;V-POMMEROEUL;2.6458555457356403
617;ROCH-JEMELLE;801;MARLOIE;5.9602406037975895
209;BRUGELETTE;832;MEVERG-ATTRE;1.5782165296289699
748;LOKEREN;130;BEERVELDE;7.73170875151176
1076;ST-D-BOEKEL;873;MUNKZWALM;2.34704192749606
1068;SERSKAMP;1058;SCHELLEBELLE;3.44278611719614
868;MOUSCRON;560;HERSEAUX;3.51888751713172
1139;THUIN;744;LOBBES;2.0753576163042498
286;COURC-MOTTE;1018;ROUX;2.17882448001213
1135;THEUX;423;FRANCHIMONT;1.38166837331015
1234;WETTEREN;1058;SCHELLEBELLE;2.79693611845541
784;MANAGE;471;GODARVILLE;4.44363329589168
442;GENDRON-CELL;589;HOUYET;4.8105261614507695
636;KIEWIT;1061;SCHULEN;12.7986623585389
146;BERTRIX;723;LIBRAMONT;12.0822139473706
973;POPERINGE;602;IEPER;10.1349721111696
1195;VISE;1151;TONGEREN;21.773670616596903
9;AARSCHOT;1238;WEZEMAAL;6.32441236336817
58;ANTW-N'DOK'N;819;MELSELE;36.2720004391276
1181;VEURNE;327;DIKSMUIDE;15.182164105215499
378;ESSENE-LOMB;725;LIEDEKERKE;1.40213173817226
320;DE PINTE;455;GENT-ST-P;6.53827221648006
