stationId,stationName,latitude,longitude
1107,STOCKEM,49.68828394053227,5.785474662429645
223,BRUX-OUEST,50.85205607050756,4.322817267052568
1063,SCLESSIN,50.61036517564539,5.556695078710749
477,GOUVY,50.18945222486348,5.953995903926275
363,EPPEGEM,50.95840721352074,4.457499467095003
911,NIVELLES,50.53576499907677,4.363632083286801
1261,ZEDELGEM,51.064712250785384,3.105750907108637
728,LIEGE-CARRE,50.64694935205776,5.572612637008039
130,BEERVELDE,51.056728987048956,3.740515250330524
1125,TAMINES,50.432082424904884,4.608866937173087
427,FROYENNES,50.629514143330255,3.355483776176476
553,HERENT,50.88136571115078,4.716208512981545
1242,WIJGMAAL,50.9233034469938,4.700698413816122
360,ENGHIEN,50.72369800894415,4.014372844199129
235,BURST,50.90182412616037,3.897482385381148
459,GERONSTERE,50.489275846379776,5.866227582391661
1043,SART-BERNARD,50.406741726327766,4.948563267648816
877,LIERSESTWG,51.16954857743458,4.469151255029598
1102,STATTE,50.528178167667285,5.219616500613516
574,HOFSTADE,50.99640059409282,4.540771399949431
324,DIEPENBEEK,50.9117654559103,5.41632753993968
518,HANSBEKE,51.08372389725801,3.487287359353551
1176,VERTRIJK,50.8079314339937,4.925636678946891
863,MORTSEL,51.18289070974222,4.448811507867788
74,ASSE,50.932896546874765,4.216581185073014
201,BRACQUEGNIES,50.46967181239604,4.098467909523017
782,MAFFLE,50.61404860437613,3.800494581194259
415,FOREST-MIDI,50.810073408172734,4.31034751540243
742,LINKEBEEK,50.77339212483393,4.339918296891916
606,IZEGEM,50.92110934791895,3.21346951707641
38,ANTW-DAM,51.24356131845809,4.424880242352097
143,BEVERLO,51.0506130017172,5.235889994991115
479,GOUY-PIETON,50.49572848742678,4.324807411007554
724,LICHTERVELDE,51.02513426910576,3.043944762312061
288,COUR-HEURE,50.28562307355466,4.405998283964117
542,HEIZIJDE,50.98889804389831,4.157254201988881
866,M-OUDE GOD,51.171808099384776,4.455388660748518
1061,SCHULEN,50.98970000175233,5.348769994945747
128,BEERSEL,50.75164132555423,4.265609116647624
474,GONTRODE,51.002749921068165,3.796939037051605
1134,TESTELT,51.00246923181287,4.863538493784459
957,PEPINST-CITE,50.544523352435114,5.810241413122569
1744,LA LOUV-SUD,50.47771530433195,4.180068630195054
1212,WAREGEM,50.85629094542211,3.314655510959285
1256,ZANDBERGEN,50.80691967863315,3.956989676456527
971,PONT-SERAING,50.618416273905495,5.497799707765855
615,JEMAPPES,50.45256323711496,3.885169785310784
938,OUDEGEM,51.02295198079399,4.10132701175954
329,DINANT,50.238013493316494,4.905565624296302
1091,SLEIDINGE,51.15444063936785,3.615186997305615
1085,LIERDE,50.86909906459784,3.814701035934555
185,BOMAL,50.376893421466065,5.519435934484005
402,FLEMALLE-HTE,50.594638934420395,5.456315954565175
320,DE PINTE,50.998952524822585,3.655383901672195
1350,ZONHOVEN,50.98970000175233,5.348769994945747
514,HAM-S-HEURE,50.320541575191406,4.405047354650672
906,NIEUWKERKEN,51.17159935285642,4.143282196338592
384,EZEMAAL,50.772129497818895,4.994219913271197
908,NIMY,50.47176943541776,3.956539829872472
433,GASTUCHE,50.73643857537926,4.649935387130406
1194,VIRTON,49.55597176168689,5.742228911420834
1184,VICHTE,50.833503060446695,3.392847172084267
895,NAMUR,50.457655320725806,4.828601683088752
1084,ST-MARIABURG,51.31359271091834,4.432805301554851
682,LANDEGEM,51.06421597718289,3.577045762195891
1229,WERVIK,50.771963555146186,2.999344828949002
102,BAASRODE-ZD,51.01631183819492,4.200760136726267
1189,VILLERS-LA-V,50.57809065042433,4.533500041266078
367,ERPE-MERE,50.913783368112675,3.935959775753258
104,AALST-KERREB,50.94821624613981,4.024772702343128
899,NEERPELT,51.22237547958096,5.437315565832811
822,MERELBEKE,51.020057593681734,3.764835020911605
1021,RUISBROEK,50.76512838101827,4.272571084560081
215,BRUX-CENTRAL,50.84531101978561,4.35675831766839
811,NEKKERSPOEL,51.030011706650285,4.490206757525481
992,COO,50.369284407472335,5.873340705435794
232,BUIZINGEN,50.75154826326621,4.258657550563634
9,AARSCHOT,50.95636089869389,4.748012297469643
654,KWATRECHT,50.99155010054474,3.833335262496046
1839,NOORD'KEMPEN,51.35805994162148,4.634029490976994
559,HERNE,50.73542702057838,3.9928810402315
600,IDDERGEM,50.85712457162398,4.054122152641434
22,AMAY,50.545921916036086,5.320609487870709
348,EINE,50.90911962391627,3.646473939714823
405,FLOREE,50.3575419838744,5.056427261179844
826,MERODE,50.81920158758551,4.404357132216069
507,HAMBOS,50.944395574176696,4.663253957778934
634,KAP-O-D-BOS,51.01761866620954,4.483579828080118
751,LONDERZEEL,51.00941362761383,4.296896133799565
1068,SERSKAMP,51.00312616442199,3.921433077882356
961,PHILIPPEVILL,50.09533742372334,4.525417233992519
855,MONT-ST-GUIB,50.6195230216506,4.636686921998361
