stationId,stationName
496,HABAY
1234,WETTEREN
155,BIERSET-AW
1144,TIELEN
550,HENNUYERES
25,ANDENNE
351,EKE-NAZARETH
1232,WOLFSTEE
905,NIEL
751,LONDERZEEL
542,HEIZIJDE
560,HERSEAUX
782,MAFFLE
789,MARCHE-DAMES
477,GOUVY
705,LEMAN
1670,GENK
1088,SINT-NIKLAAS
34,ANSEREMME
907,NIJLEN
1228,WELLE
77,ATH
1212,WAREGEM
75,ASSESSE
423,FRANCHIMONT
730,LIEGE-ST-LAM
219,BRU AIRPORT
1005,ROESELARE
138,BELSELE
1093,SOLRE-SAMBRE
139,ANTW-BERCHEM
1194,VIRTON
781,MALDEREN
1151,TONGEREN
382,EUPEN
9,AARSCHOT
788,MARCHE-FAM
989,REBAIX
728,LIEGE-CARRE
212,BRUGGE-ST-P
1061,SCHULEN
1184,VICHTE
738,LILLOIS
502,HALANZY
924,OLEN
801,MARLOIE
1149,TILLY
1195,VISE
19,ALKEN
402,FLEMALLE-HTE
568,HILLEGEM
199,BOUWEL
107,BALEN
1107,STOCKEM
289,COURT-ST-ET
748,LOKEREN
8,AALTER
747,LODELINSART
489,GRUPONT
931,OOSTKAMP
1146,TIENEN
250,CARNIERES
106,BALEGEM-ZUID
818,MELR-HOTTON
488,G-BIJGAARDEN
628,JURBISE
786,MARBEHAN
61,ANTW-OOST
1663,HAREN
1912,ARCADES
1261,ZEDELGEM
929,OOSTENDE
409,FLORENVILLE
1187,V-POMMEROEUL
825,HERGENRATH
699,LEBBEKE
791,MARCH-AU-PT
22,AMAY
249,CARLSBOURG
910,NINOVE
70,ARLON
936,OTTIGNIES
100,AYE
1152,TORHOUT
331,DOLHAIN-GIL
840,MOL
364,ERBISOEUL
532,HAVERSIN
1060,SCHOONAARDE
822,MERELBEKE
520,HARELBEKE
74,ASSE
790,MARCHE-ECAUS
1761,DELTA
190,BOORTMEERB
562,HERSTAL
692,LA ROCHE
720,LEVAL
515,HAM-S-SAMBRE
363,EPPEGEM
815,MELLE
750,LOMMEL
504,HALLE
288,COUR-HEURE
611,JAMBES
169,BLATON
957,PEPINST-CITE
376,ESSEN
997,RIXENSART
1097,SPA
188,BOOM
507,HAMBOS
762,LOUVAIN-LA-N
566,HEVER
232,BUIZINGEN
939,OUDENAARDE
177,BOECHOUT
873,MUNKZWALM
427,FROYENNES
316,DE HOEK
700,CAMPINAIRE
148,BEUZET
1167,UCCLE-CALEV
1348,BERINGEN
970,PONT-CELLES
1159,TROOZ
10,AARSELE
1018,ROUX
1219,WATERMAEL
404,FLEURUS
2089,ANDERLECHT
1068,SERSKAMP
105,BALEGEM-DORP
142,BERLAAR
235,BURST
259,CHARL-CENTR
715,LEUVEN
337,DUINBERGEN
205,BRAINE-LE-CT
1235,WEVELGEM
1266,ZELLIK
958,PERUWELZ
954,PECROT
1082,ST-JOR-WEERT
1150,TOLLEMBEEK
554,HERENTALS
1226,WELKENRAEDT
470,GLONS
664,LABUISSIERE
860,MOORTSELE
535,HAVRE
704,LEIGNON
636,KIEWIT
191,BORDET
442,GENDRON-CELL
424,FRANIERE
30,ANTW-HAVEN
518,HANSBEKE
1265,ZELE
319,DENDERMONDE
974,POULSEUR
559,HERNE
457,GENVAL
361,ENGIS
982,QUEVY
35,ANTOING
807,MAUBRAY
410,FLORIVAL
979,QUAREGNON
826,MERODE
956,PEPINSTER
287,COURRIERE
824,VIVIER D'OIE
38,ANTW-DAM
231,BUGGENHOUT
1062,SCLAIGNEAUX
261,CHASTRE
384,EZEMAAL
991,REMICOURT
401,FLEMALLE-GDE
546,HEMIKSEM
649,KORTRIJK
399,FEXHE
64,ANTW-ZUID
1223,WAVRE
565,HEUSDEN
472,GODINNE
642,KNOKKE
742,LINKEBEEK
392,FARCIENNES
600,IDDERGEM
1058,SCHELLEBELLE
1666,OVERPELT
143,BEVERLO
68,ARCHENNES
553,HERENT
203,BRAINE-L'ALL
973,POPERINGE
317,DEINZE
209,BRUGELETTE
764,LUCHTBAL
602,IEPER
31,ANS
1245,WILLEBROEK
208,BRESSOUX
612,JAMIOULX
686,LANGDORP
58,ANTW-N'DOK'N
920,OBOURG
654,KWATRECHT
368,ERPS-KWERPS
367,ERPE-MERE
67,APPELTERRE
1087,ST-M-BODEGEM
1125,TAMINES
812,MEISER
78,ATHUS
184,BOKRIJK
1238,WEZEMAAL
541,HEIST-BERG
1092,SOIGNIES
866,M-OUDE GOD
1135,THEUX
258,CHARL-OUEST
462,GHLIN
975,PROFONDSART
1192,VILVOORDE
126,BEAURAING
923,OKEGEM
480,GRAIDE
229,BUDA
574,HOFSTADE
521,HAREN-SUD
797,MARIA-AALTER
257,CHAPOIS
821,MERCHTEM
835,MILMORT
1723,ZEEBR-STRAND
629,JUSLENVILLE
501,HAININ
523,HASSELT
434,GAVERE-ASPER
723,LIBRAMONT
1224,WEERDE
1270,ZICHEM
1157,TROIS-PONTS
530,HAUTE-FLONE
1168,UCCLE-STALLE
