Departure station (id);Departure station;Arrival station (id);Arrival station;Length;geo_point_2d
1912;ARCADES;189;BOONDAEL;0.922614517461714;50.80580874530859, 4.396015681245376
1084;ST-MARIABURG;632;KAPELLEN;2.37054427321055;51.30321580003788, 4.432171692112015
127;BEERNEM;931;OOSTKAMP;5.83862609468763;51.14096047870305, 3.293692288704566
318;DENDERLEEUW;365;EREMBODEGEM;3.39220447147905;50.90387023947304, 4.061323964975107
371;ERQUEL-VILL;1093;SOLRE-SAMBRE;2.04868879110638;50.31166862816273, 4.144134787860377
185;BOMAL;1113;SY;3.66520060494182;50.38935630291319, 5.5287104335586195
1189;VILLERS-LA-V;692;LA ROCHE;3.84487617823721;50.59346869408318, 4.533306180450321
1174;VELTEM;368;ERPS-KWERPS;3.44921306312771;50.89857763407665, 4.609220760673716
267;CH'DFONTAINE;1159;TROOZ;3.58227557418227;50.57927730980482, 5.666056445194795
1189;VILLERS-LA-V;1149;TILLY;3.38746842758513;50.56963314594156, 4.5488718663671595
617;ROCH-JEMELLE;418;FORRIERES;3.23090342249126;50.14705071995819, 5.270514202523411
781;MALDEREN;751;LONDERZEEL;4.63667129087943;51.01243607480529, 4.264201843232561
523;HASSELT;324;DIEPENBEEK;7.12542068250409;50.9214811312723, 5.3704397851734695
1048;SCHAERBEEK;219;BRU AIRPORT;9.6292624531481;50.89838700278043, 4.430732799440681
992;COO;1157;TROIS-PONTS;2.58324913573318;50.38001810370775, 5.877249781217353
27;ANGLEUR;2011;OUGREE;4.99000023867114;50.608439287893354, 5.569446496251015
447;GENTBRUGGE;449;GENT-DAMP;2.315575810855;51.04702958861655, 3.747209004973637
602;IEPER;973;POPERINGE;10.1349721111696;50.85289731904728, 2.807292532005671
621;JETTE;243;BERCHEM-ST-A;3.17825665118003;50.87871378519017, 4.311438482903143
1090;SINT-TRUIDEN;19;ALKEN;11.2556227761405;50.85108611406724, 5.234467645818386
1079;RHODE-ST-G;316;DE HOEK;1.1590775910472801;50.74346168567251, 4.365860538370198
